currency,horizon,model,config,news,prompt,rmse,mae,mape,da,n_windows
USDTWD,1,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.09497527609260015,0.07726867107391441,0.24538880158361956,77.77777777777779,10
USDTWD,1,qwen2.5-7b,news_only,True,tsfl_zero,0.18586050317063332,0.1514527116394035,0.48082837015113594,77.77777777777779,10
USDTWD,1,qwen2.5-7b,prompt_only,False,tsfl_few,0.21400996357927746,0.17544097644806128,0.5572079023609957,55.55555555555556,10
USDTWD,1,qwen2.5-7b,full_model,True,tsfl_few,0.1621043004858623,0.12953066904068003,0.4122858172694062,66.66666666666666,10
USDTWD,5,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.248472735271247,0.20712454062652655,0.6574408212601051,40.54054054054054,10
USDTWD,5,qwen2.5-7b,news_only,True,tsfl_zero,0.28255010130934877,0.2199965274009702,0.6984419987691819,40.54054054054054,10
USDTWD,5,qwen2.5-7b,prompt_only,False,tsfl_few,0.36553845125335377,0.2903040265502934,0.9190338638671025,43.24324324324324,10
USDTWD,5,qwen2.5-7b,full_model,True,tsfl_few,0.3924724876145884,0.2913895031585703,0.922402598647559,35.13513513513514,10
USDTWD,10,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.3547216741300671,0.29848679265976064,0.945327199546453,35.294117647058826,10
USDTWD,10,qwen2.5-7b,news_only,True,tsfl_zero,0.23373304674400927,0.18782412997627418,0.5959800730068846,44.11764705882353,10
USDTWD,10,qwen2.5-7b,prompt_only,False,tsfl_few,0.266325298850904,0.2259914492359164,0.715648265647273,50.0,10
USDTWD,10,qwen2.5-7b,full_model,True,tsfl_few,0.34718571147435834,0.3035395117244731,0.9613429866568044,50.0,10
USDAUD,1,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.010098223262942806,0.008465723458528519,0.5903762978873655,44.44444444444444,10
USDAUD,1,qwen2.5-7b,news_only,True,tsfl_zero,0.03706672188739421,0.028367530007362318,1.9732567745311074,55.55555555555556,10
USDAUD,1,qwen2.5-7b,prompt_only,False,tsfl_few,0.026803037725675823,0.014694495389461503,1.0324469363550839,44.44444444444444,10
USDAUD,1,qwen2.5-7b,full_model,True,tsfl_few,0.027011873387365208,0.017660506606101967,1.2430489077725262,55.55555555555556,10
USDAUD,5,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.029343415346911348,0.02105535261011116,1.4534854115461178,40.54054054054054,10
USDAUD,5,qwen2.5-7b,news_only,True,tsfl_zero,0.040121241948629524,0.03404688302516932,2.35961758161653,56.75675675675676,10
USDAUD,5,qwen2.5-7b,prompt_only,False,tsfl_few,0.022688664657621704,0.013697013046741464,0.9523465646818913,54.054054054054056,10
USDAUD,5,qwen2.5-7b,full_model,True,tsfl_few,0.02906731707305464,0.020898532548427533,1.4540682358638304,40.54054054054054,10
USDAUD,10,qwen2.5-7b,baseline_llm,False,tsfl_zero,0.030361648443807985,0.020018154972076374,1.3794677945477853,54.41176470588235,10
USDAUD,10,qwen2.5-7b,news_only,True,tsfl_zero,0.04623097793454733,0.038284069791913,2.6504573699407263,52.94117647058824,10
USDAUD,10,qwen2.5-7b,prompt_only,False,tsfl_few,0.029167543633054228,0.01839326741230488,1.279568105698569,50.0,10
USDAUD,10,qwen2.5-7b,full_model,True,tsfl_few,0.03545625975724211,0.0252979865152836,1.7598941635283316,38.23529411764706,10
USDIDR,1,mistral-7b,baseline_llm,False,tsfl_zero,93.9948272269177,73.32299093749971,0.435660860347953,44.44444444444444,10
USDIDR,1,mistral-7b,news_only,True,tsfl_zero,94.4330163651977,75.76007488281212,0.4506855010913661,33.33333333333333,10
USDIDR,1,mistral-7b,prompt_only,False,tsfl_few,64.03279275086194,51.9463696484374,0.30877116642299407,77.77777777777779,10
USDIDR,1,mistral-7b,full_model,True,tsfl_few,82.15560008618125,68.70968124999999,0.4087702731285562,66.66666666666666,10
USDIDR,5,mistral-7b,baseline_llm,False,tsfl_zero,115.84735650609214,87.38137391796867,0.5195494091651064,62.16216216216216,10
USDIDR,5,mistral-7b,news_only,True,tsfl_zero,112.99798530218045,91.85378914453133,0.5460705441913204,54.054054054054056,10
USDIDR,5,mistral-7b,prompt_only,False,tsfl_few,98.06319402026293,77.1349419843751,0.45878944470693456,40.54054054054054,10
USDIDR,5,mistral-7b,full_model,True,tsfl_few,100.64549590710607,77.43400946875,0.4601967659459788,54.054054054054056,10
USDIDR,10,mistral-7b,baseline_llm,False,tsfl_zero,119.40182739511296,96.65818994921891,0.5752810285120553,52.23880597014925,10
USDIDR,10,mistral-7b,news_only,True,tsfl_zero,133.4812532594071,107.77577302343747,0.6413386165557393,44.776119402985074,10
USDIDR,10,mistral-7b,prompt_only,False,tsfl_few,105.41055533328057,84.89367198437499,0.5049998093403102,40.298507462686565,10
USDIDR,10,mistral-7b,full_model,True,tsfl_few,115.91534651399533,93.58766965234358,0.556715114574417,46.26865671641791,10
USDEUR,1,mistral-7b,baseline_llm,False,tsfl_zero,0.010538610709939448,0.0077765558493137375,0.9135293303072957,77.77777777777779,10
USDEUR,1,mistral-7b,news_only,True,tsfl_zero,0.008684452384915014,0.005797768030166617,0.6850628693505261,55.55555555555556,10
USDEUR,1,mistral-7b,prompt_only,False,tsfl_few,0.007469165920998419,0.005020717989206313,0.5926657876365244,77.77777777777779,10
USDEUR,1,mistral-7b,full_model,True,tsfl_few,0.006500382682699847,0.00423945679724218,0.5004857961658483,66.66666666666666,10
USDEUR,5,mistral-7b,baseline_llm,False,tsfl_zero,0.01158389571722559,0.00932014372158051,1.0961481810353781,56.75675675675676,10
