type,model,config,currency,horizon,window,window_rmse,window_da
llm,llama3-8b,news_only,USDIDR,10,2,447.8622458684809,57.14285714285714
llm,llama3-8b,news_only,USDIDR,10,3,107.13294564407288,71.42857142857143
llm,llama3-8b,news_only,USDIDR,10,4,534.0555062679146,33.33333333333333
llm,llama3-8b,news_only,USDIDR,10,5,601.6345446270498,87.5
llm,llama3-8b,news_only,USDIDR,10,6,177.93618249620403,33.33333333333333
llm,llama3-8b,news_only,USDIDR,10,7,229.15180774229492,28.57142857142857
llm,llama3-8b,news_only,USDIDR,10,8,179.2886327096437,71.42857142857143
llm,llama3-8b,news_only,USDIDR,10,9,200.43955329459777,71.42857142857143
llm,llama3-8b,news_only,USDIDR,10,10,220.82514511844437,50.0
llm,llama3-8b,news_only,USDIDR,10,11,157.78275698329531,33.33333333333333
llm,llama3-8b,news_only,USDIDR,10,12,344.95940010448317,75.0
llm,llama3-8b,news_only,USDIDR,10,13,192.8869506502241,66.66666666666666
llm,llama3-8b,news_only,USDIDR,10,14,234.00632420421044,25.0
llm,llama3-8b,news_only,USDIDR,10,15,269.10885276573856,42.857142857142854
llm,llama3-8b,news_only,USDIDR,10,16,128.09480364749103,57.14285714285714
llm,llama3-8b,news_only,USDIDR,10,17,147.85564962479918,62.5
llm,llama3-8b,news_only,USDIDR,10,18,341.4474153000864,50.0
llm,llama3-8b,news_only,USDIDR,10,19,204.24011281674797,75.0
llm,llama3-8b,news_only,USDIDR,10,20,92.00526221110675,66.66666666666666
llm,llama3-8b,news_only,USDIDR,10,21,124.14198376286241,57.14285714285714
llm,llama3-8b,news_only,USDIDR,10,22,108.54814178398912,66.66666666666666
llm,llama3-8b,news_only,USDIDR,10,23,49.51540928901056,28.57142857142857
llm,llama3-8b,news_only,USDIDR,10,24,197.86274350673318,50.0
llm,llama3-8b,news_only,USDIDR,10,25,190.3356124524564,60.0
llm,llama3-8b,news_only,USDIDR,10,26,112.02154346809743,62.5
llm,llama3-8b,news_only,USDIDR,10,27,133.83525791146522,50.0
llm,llama3-8b,news_only,USDIDR,10,28,81.12425511240106,50.0
llm,llama3-8b,news_only,USDIDR,10,29,156.82299234751082,28.57142857142857
llm,llama3-8b,prompt_only,USDIDR,10,0,325.558384352117,87.5
llm,llama3-8b,prompt_only,USDIDR,10,1,314.93039743895474,14.285714285714285
llm,llama3-8b,prompt_only,USDIDR,10,2,349.08406349677955,57.14285714285714
llm,llama3-8b,prompt_only,USDIDR,10,3,258.7285536071935,42.857142857142854
llm,llama3-8b,prompt_only,USDIDR,10,4,200.39644779633022,83.33333333333334
llm,llama3-8b,prompt_only,USDIDR,10,5,380.1696365383176,75.0
llm,llama3-8b,prompt_only,USDIDR,10,6,148.0574382743902,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,10,7,128.1386079293963,57.14285714285714
llm,llama3-8b,prompt_only,USDIDR,10,8,281.98637383563823,71.42857142857143
llm,llama3-8b,prompt_only,USDIDR,10,9,149.82366795806786,71.42857142857143
llm,llama3-8b,prompt_only,USDIDR,10,10,217.87392773723911,50.0
llm,llama3-8b,prompt_only,USDIDR,10,11,62.32605878841572,83.33333333333334
llm,llama3-8b,prompt_only,USDIDR,10,12,273.6090030284113,50.0
llm,llama3-8b,prompt_only,USDIDR,10,13,146.17019620436494,50.0
llm,llama3-8b,prompt_only,USDIDR,10,14,119.93392312021471,62.5
llm,llama3-8b,prompt_only,USDIDR,10,15,271.9458049868488,57.14285714285714
llm,llama3-8b,prompt_only,USDIDR,10,16,155.4228774391659,42.857142857142854
llm,llama3-8b,prompt_only,USDIDR,10,17,150.14813561557068,50.0
llm,llama3-8b,prompt_only,USDIDR,10,18,209.2066760277412,66.66666666666666
llm,llama3-8b,prompt_only,USDIDR,10,19,408.3912472549911,50.0
llm,llama3-8b,prompt_only,USDIDR,10,20,52.90797536358473,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,10,21,114.03588009482054,57.14285714285714
llm,llama3-8b,prompt_only,USDIDR,10,22,73.01807421543761,16.666666666666664
llm,llama3-8b,prompt_only,USDIDR,10,23,139.98678947342802,28.57142857142857
llm,llama3-8b,prompt_only,USDIDR,10,24,111.35891458599009,50.0
llm,llama3-8b,prompt_only,USDIDR,10,25,103.09562988505502,60.0
llm,llama3-8b,prompt_only,USDIDR,10,26,126.20397806769563,62.5
llm,llama3-8b,prompt_only,USDIDR,10,27,112.87732395645527,33.33333333333333
llm,llama3-8b,prompt_only,USDIDR,10,28,52.16163123698207,75.0
llm,llama3-8b,prompt_only,USDIDR,10,29,68.14303743638273,42.857142857142854
llm,llama3-8b,full_model,USDIDR,10,0,324.0412042050159,75.0
llm,llama3-8b,full_model,USDIDR,10,1,302.40943314627737,42.857142857142854
llm,llama3-8b,full_model,USDIDR,10,2,455.75299564179846,71.42857142857143
llm,llama3-8b,full_model,USDIDR,10,3,301.4225896125038,57.14285714285714
llm,llama3-8b,full_model,USDIDR,10,4,102.35533516468864,83.33333333333334
llm,llama3-8b,full_model,USDIDR,10,5,342.00067126448005,25.0
llm,llama3-8b,full_model,USDIDR,10,6,58.95205810557322,66.66666666666666
llm,llama3-8b,full_model,USDIDR,10,7,136.67967452312186,42.857142857142854
llm,llama3-8b,full_model,USDIDR,10,8,158.8416015124873,85.71428571428571
llm,llama3-8b,full_model,USDIDR,10,9,123.98623552011107,85.71428571428571
llm,llama3-8b,full_model,USDIDR,10,10,190.75071215518616,50.0
llm,llama3-8b,full_model,USDIDR,10,11,222.17378939496203,50.0
llm,llama3-8b,full_model,USDIDR,10,12,380.7953693041685,37.5
llm,llama3-8b,full_model,USDIDR,10,13,241.77854647961334,50.0
llm,llama3-8b,full_model,USDIDR,10,14,155.93874448043044,62.5
llm,llama3-8b,full_model,USDIDR,10,15,293.6094383652942,71.42857142857143
llm,llama3-8b,full_model,USDIDR,10,16,86.22690370274398,42.857142857142854
llm,llama3-8b,full_model,USDIDR,10,17,158.17346443295926,37.5
llm,llama3-8b,full_model,USDIDR,10,18,282.4205311036323,50.0
llm,llama3-8b,full_model,USDIDR,10,19,86.3503196552769,62.5
llm,llama3-8b,full_model,USDIDR,10,20,48.75934565248108,50.0
llm,llama3-8b,full_model,USDIDR,10,21,103.76251179485814,57.14285714285714
llm,llama3-8b,full_model,USDIDR,10,22,82.58373070162858,50.0
llm,llama3-8b,full_model,USDIDR,10,23,140.7818733612021,28.57142857142857
llm,llama3-8b,full_model,USDIDR,10,24,222.4954884710132,37.5
llm,llama3-8b,full_model,USDIDR,10,25,110.76978295518298,80.0
llm,llama3-8b,full_model,USDIDR,10,26,99.03910381060092,62.5
llm,llama3-8b,full_model,USDIDR,10,27,160.01682632858507,83.33333333333334
llm,llama3-8b,full_model,USDIDR,10,28,61.93992649330206,62.5
llm,llama3-8b,full_model,USDIDR,10,29,40.88957344053399,85.71428571428571
